# CEH v12 Module 01: Introduction to Ethical Hacking
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What is the primary difference between active and passive reconnaissance?|Active reconnaissance requires direct interaction with the target system|Passive reconnaissance is always illegal|Active reconnaissance is always quieter and less detectable|There is no practical difference between them|0|Active reconnaissance involves direct interaction with target systems (like port scanning), while passive reconnaissance gathers information without directly touching the target (like searching public records).|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which ethical principle requires hackers to obtain explicit permission before testing?|Confidentiality|Integrity|Authorization|Availability|2|Authorization is the ethical and legal principle requiring explicit permission before conducting security testing. Testing without authorization can result in criminal charges under laws like the CFAA.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is a "zero-day" vulnerability?|A vulnerability that has existed for zero days|A vulnerability with no known patch or fix available|A vulnerability that only exists on day zero of the month|A vulnerability that takes zero days to successfully exploit|1|A zero-day vulnerability is a security flaw for which no patch or fix is yet available. The term indicates that defenders have had "zero days" to prepare defenses against exploitation.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which framework provides a knowledge base of adversary tactics and techniques based on real-world observations?|OWASP Top 10|NIST Cybersecurity Framework|MITRE ATT&CK|ISO 27001|2|The MITRE ATT&CK (Adversarial Tactics, Techniques, and Common Knowledge) framework is a globally accessible knowledge base of adversary tactics and techniques based on real-world observations.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the purpose of a "rules of engagement" document in penetration testing?|To define combat strategies for red team exercises|To outline the scope, limitations, testing procedures, and communication protocols|To describe general employee security responsibilities|To detail incident response procedures only|1|Rules of engagement define the scope, limitations, testing procedures, communication protocols, and emergency contacts for penetration testing activities. It ensures all parties understand the boundaries and expectations.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which type of assessment focuses only on identifying vulnerabilities without exploiting them?|Penetration test|Red team assessment|Vulnerability scan or assessment|Social engineering assessment|2|A vulnerability scan or assessment identifies potential security weaknesses without actively exploiting them. This is less intrusive than penetration testing but provides less proof of exploitability.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "threat modeling" in the context of security?|Creating 3D physical models of potential threats|Identifying, analyzing, and prioritizing potential threats to a system|Modeling network traffic patterns only|Creating detailed profiles of threat actors exclusively|1|Threat modeling is a structured process for identifying, analyzing, and prioritizing potential threats to a system or application. It helps organizations focus security efforts on the most critical risks.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which of the following best describes "defense in depth"?|Using only one very strong security control|Implementing multiple layers of overlapping security controls|Deep packet inspection only|Focusing solely on perimeter security defenses|1|Defense in depth is a security strategy that implements multiple layers of security controls throughout a system. If one layer fails, other layers continue to provide protection.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the CIA triad in information security?|Central Intelligence Agency operations framework|Confidentiality, Integrity, and Availability|Computer, Internet, and Applications security model|Cryptography, Identity, and Authentication principles|1|The CIA triad represents the three fundamental principles of information security: Confidentiality (protecting information from unauthorized disclosure), Integrity (ensuring data accuracy), and Availability (ensuring authorized access).|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which term describes someone who uses hacking tools without understanding how they work?|Elite hacker (1337)|Script kiddie|Hacktivist|Cyber ninja specialist|1|A script kiddie is someone who uses hacking tools and scripts created by others without understanding the underlying technology or techniques. They lack the skills to develop their own tools.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is a "hacktivist"?|A hacker motivated by political, social, or ideological causes|A government-sponsored advanced persistent threat actor|A hacker who only attacks during activism events|An activist who specifically opposes all forms of hacking|0|A hacktivist uses hacking techniques to promote political, social, or ideological causes. Notable examples include groups like Anonymous and various politically motivated cyber operations.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which methodology emphasizes adversary emulation and mimicking real-world attack scenarios?|Basic vulnerability assessment|Compliance-focused audit|Red team exercise or assessment|Standard security awareness training|2|Red team exercises involve adversary emulation where security professionals mimic real-world attackers' tactics, techniques, and procedures (TTPs) to test an organization's detection and response capabilities.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the primary purpose of "threat intelligence" in cybersecurity?|To intimidate potential attackers with knowledge|To provide actionable information about current and emerging threats for decision-making|To collect competitive intelligence on business competitors|To continuously monitor employee activities for insider threats|1|Threat intelligence provides actionable information about current and emerging threats, threat actors, their tactics, and indicators of compromise. This helps organizations make informed security decisions.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which document should specify the penalties for unauthorized disclosure of penetration testing findings?|Test plan or testing methodology document|Non-disclosure agreement (NDA) or confidentiality agreement|Service level agreement (SLA)|Memorandum of understanding (MOU) only|1|A non-disclosure agreement (NDA) or confidentiality agreement specifies the requirements and penalties for unauthorized disclosure of sensitive information discovered during penetration testing.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "responsible disclosure" in vulnerability reporting?|Publicly announcing vulnerabilities immediately upon discovery|Reporting vulnerabilities privately to vendors and allowing reasonable time to patch before public disclosure|Selling discovered vulnerabilities to the highest bidder|Never disclosing vulnerabilities to anyone under any circumstances|1|Responsible disclosure involves privately reporting vulnerabilities to the affected vendor and allowing reasonable time (typically 90 days) to develop and release patches before making the vulnerability public.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which certification requires agreeing to EC-Council's Code of Ethics?|CISSP (Certified Information Systems Security Professional)|CEH (Certified Ethical Hacker)|Security+ (CompTIA Security Plus)|OSCP (Offensive Security Certified Professional)|1|The Certified Ethical Hacker (CEH) certification requires candidates to agree to EC-Council's Code of Ethics, which outlines professional conduct standards for ethical hackers.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the difference between a vulnerability and an exploit?|They are exactly the same thing with different names|A vulnerability is a weakness or flaw; an exploit is code or technique that takes advantage of it|Exploits are always legal while vulnerabilities are not|Vulnerabilities only exist in software, never in configurations|1|A vulnerability is a weakness or flaw in a system, while an exploit is the specific code, technique, or method used to take advantage of that vulnerability to compromise the system.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which phase involves removing evidence of intrusion from system log files?|Reconnaissance (Footprinting)|Scanning and Enumeration|Gaining Initial Access|Covering Tracks|3|Covering Tracks is the final phase where attackers (or testers) attempt to remove or hide evidence of their activities from log files and monitoring systems to avoid detection.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "attack surface" in cybersecurity?|The physical surface area of a data center facility|The sum of all possible entry points where an unauthorized user could enter a system|The surface area of physical network cables in a building|The total number of employees who have system access|1|Attack surface refers to the sum of all possible entry points (physical, digital, and human) where an unauthorized user could potentially gain access to a system and cause damage.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which term describes testing performed without any prior knowledge of the target system?|White box testing|Gray box testing|Black box testing|Clear box testing|2|Black box testing is performed with no prior knowledge of the target system's internals. The tester approaches the system as an external attacker would, with no inside information.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the primary goal of a "purple team" in cybersecurity?|To conduct aggressive attacks on systems without warning|To facilitate collaboration and knowledge sharing between red team attackers and blue team defenders|To exclusively conduct compliance audits and assessments|To manage day-to-day security operations center activities|1|Purple team activities facilitate collaboration between red team (attackers) and blue team (defenders) to improve both offensive and defensive capabilities through knowledge sharing and joint exercises.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which law protects healthcare patient information in the United States?|GDPR (European regulation, not US law)|HIPAA (Health Insurance Portability and Accountability Act)|PCI DSS (Payment Card Industry Data Security Standard)|SOX (Sarbanes-Oxley Act)|1|HIPAA (Health Insurance Portability and Accountability Act) protects the privacy and security of healthcare patient information in the United States and sets requirements for handling Protected Health Information (PHI).|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "threat hunting" in cybersecurity operations?|Hunting for threat actors in physical locations|Proactively searching for threats and malicious activity within a network before alerts are generated|Collecting threat intelligence from only external sources|Training hunting dogs for physical security purposes|1|Threat hunting is a proactive security activity where analysts actively search for threats, adversaries, and malicious activity within their network that may have evaded existing security controls.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which of the following is a key principle of the EC-Council Code of Ethics for CEH?|Maximize profits and financial gain at all costs|Keep private and confidential information discovered during engagements secure|Share all security findings publicly and immediately after discovery|Test any systems deemed necessary without explicit permission|1|The EC-Council Code of Ethics requires CEH professionals to keep private and confidential information secure, only access systems with proper authorization, and act with integrity and professionalism.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "security through obscurity"?|A strong and recommended security practice for all systems|Relying primarily on the secrecy of system design or implementation for security|Using strong encryption for all communications|Implementing multi-factor authentication across all systems|1|Security through obscurity relies on keeping system design, implementation details, or algorithms secret as the primary security measure. This is generally considered a weak approach and should not be the sole security control.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which framework is specifically designed for critical infrastructure protection and cybersecurity risk management?|OWASP (Open Web Application Security Project)|NIST Cybersecurity Framework|COBIT (Control Objectives for Information Technologies)|TOGAF (The Open Group Architecture Framework)|1|The NIST Cybersecurity Framework provides a policy framework of computer security guidance for how organizations can assess and improve their ability to prevent, detect, and respond to cyber attacks.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the purpose of a "war dialing" attack technique?|To automatically dial phone numbers searching for modems, fax machines, or accessible systems|To conduct social engineering attacks exclusively over the phone|To trigger war-related emergency response events for testing|To intercept and eavesdrop on mobile phone voice calls|0|War dialing is a technique of automatically dialing telephone numbers (often sequentially) to find modems, fax machines, or other devices connected to phone lines that could provide unauthorized access.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which term describes an attack where the adversary remains in the network undetected for extended periods?|Hit and run attack|Advanced Persistent Threat (APT)|Denial of Service (DoS) attack|Brute force credential attack|1|An Advanced Persistent Threat (APT) is a stealthy, sophisticated, and prolonged attack where adversaries gain access to a network and remain undetected for extended periods to steal data or monitor activity.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "risk" in cybersecurity terms?|Exactly the same as vulnerability with no distinction|The potential for loss, damage, or harm when a threat exploits a vulnerability|The likelihood of rain during a security incident|Simply the total cost of all security tools and software|1|Risk is the potential for loss, damage, or harm when a threat successfully exploits a vulnerability. It's typically calculated as a function of threat, vulnerability, and impact.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which testing approach provides the tester with partial knowledge of the system's internals?|Black box testing|White box testing|Gray box testing|Red box testing|2|Gray box testing provides the tester with partial knowledge of the system's internals, such as architecture diagrams or user credentials. This simulates an insider threat or a more targeted external attack.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the primary purpose of "security awareness training"?|To teach all employees advanced penetration testing techniques|To educate users about security threats, risks, and best practices for their role|To replace all technical security controls with human processes|To continuously monitor and track employee behavior and activities|1|Security awareness training educates users about security threats (like phishing), organizational policies, and best practices appropriate for their role. It's a critical administrative control that reduces human risk.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which term describes the time window between vulnerability discovery and patch availability?|Window of vulnerability or exposure|Patch Tuesday window|Security gap interval|Exposure period timeframe|0|The window of vulnerability (also called window of exposure) is the time between when a vulnerability is discovered (or becomes known) and when a patch or mitigation is available and applied.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "footprinting" in ethical hacking?|Tracking and analyzing physical footprints at crime scenes|Collecting information about a target system or organization to identify potential vulnerabilities|Creating detailed network topology diagrams exclusively|Measuring and monitoring network bandwidth utilization|1|Footprinting is the process of collecting information about a target system, network, or organization to identify potential attack vectors and vulnerabilities. It's the first phase of the hacking methodology.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which of the following is NOT one of the main categories of security controls?|Administrative (policies and procedures)|Technical (technology-based controls)|Physical (tangible controls)|Emotional (feelings-based controls)|3|The three main categories of security controls are Administrative (policies, procedures, training), Technical (technology-based like firewalls, encryption), and Physical (locks, guards, cameras). Emotional controls are not a recognized category.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the purpose of a penetration test report?|To publicly shame the organization for security failures|To document findings, assess risks, provide evidence, and recommend remediation steps|To serve only as a compliance checklist without actionable items|To be used primarily as marketing and sales material|1|A penetration test report documents findings, provides risk assessments, includes evidence of discoveries, and offers detailed remediation recommendations to help the organization improve its security posture.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which hacking phase involves escalating privileges to gain deeper system access?|Reconnaissance (initial information gathering)|Scanning and Enumeration (active probing)|Gaining Access (exploitation and privilege escalation)|Covering Tracks (hiding evidence)|2|The Gaining Access phase involves initial exploitation and privilege escalation to gain deeper access to the system, moving from limited user access to administrative or system-level access.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is "blue teaming" in cybersecurity?|Conducting offensive security testing and attacks|Performing defensive security operations, monitoring, and incident response|Conducting compliance audits exclusively|Managing general network administration tasks|1|Blue teaming focuses on defensive security operations including monitoring, threat detection, incident response, and implementing security controls to defend against attacks. Blue team opposes the red team.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which of the following best describes an organization's "risk appetite"?|The amount and type of risk an organization is willing to accept in pursuit of objectives|An organization's desire to take risks without consideration|The total number of vulnerabilities in systems|Simply the cost of security controls and tools|0|Risk appetite is the amount and type of risk an organization is willing to accept in pursuit of its objectives. It guides decision-making about which risks to mitigate, transfer, accept, or avoid.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the key difference between "security" and "privacy"?|They are exactly the same with no distinction|Security protects data from unauthorized access; privacy concerns the appropriate collection, use, and sharing of personal information|Privacy is only relevant for individuals, never for organizations|Security is always a complete subset of privacy controls|1|Security focuses on protecting data from unauthorized access, modification, or destruction. Privacy concerns the appropriate collection, use, retention, and sharing of personal information in accordance with regulations and individual rights.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which continuous improvement methodology follows the "Plan, Do, Check, Act" cycle?|PDCA or Deming Cycle|Waterfall development model|Agile/Scrum methodology|DevOps practices|0|The PDCA (Plan-Do-Check-Act) cycle, also known as the Deming Cycle, is a four-step iterative management method used for continuous improvement of processes and products. It's widely used in quality and security management.|01. Introduction to Ethical Hacking|1.1 Fundamentals
