# Domain 2.0 - Threats, Vulnerabilities, and Mitigations
# Subdomain 2.5 - Mitigation Techniques
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What mitigation technique standardizes and enforces security settings?|Configuration enforcement|Random configuration|Varied settings|Ad-hoc management|0|Configuration enforcement (configuration management) standardizes and enforces security settings across systems through baselines, templates, and automated tools. This ensures consistent security posture and prevents configuration drift. Random, varied, or ad-hoc approaches reduce security.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Which access control method grants permissions based on job roles?|Mandatory Access Control (MAC)|Role-Based Access Control (RBAC)|Discretionary Access Control (DAC)|Rule-Based Access Control|1|Role-Based Access Control (RBAC) assigns permissions based on job roles, simplifying administration and ensuring users have appropriate access for their positions. MAC enforces classifications, DAC allows owners to control access, and rule-based uses conditions.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

What zero trust principle requires continuous verification regardless of location?|Trust but verify|Never trust, always verify|Verify then trust indefinitely|Trust internal users only|1|Zero trust operates on "never trust, always verify" - no entity inside or outside the network is trusted by default. Every access request requires authentication, authorization, and continuous validation of security posture, regardless of location. This eliminates implicit trust based on network location. Traditional perimeter security trusts internal users, but zero trust requires continuous verification for everyone. Implemented through microsegmentation, identity verification, device health checks, conditional access policies, and least privilege access. Google's BeyondCorp and NIST SP 800-207 are zero trust frameworks. This approach prevents lateral movement after initial breach since every resource access requires re-authentication.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Microsegmentation applies security controls at what level?|Network perimeter only|Individual workload or application|Data center only|User level only|1|Microsegmentation applies security policies at granular levels - individual workloads, applications, or even processes - rather than broad network segments. This creates fine-grained security zones that limit lateral movement even within the same physical network. Each workload gets its own security policy defining allowed communications. Particularly effective in cloud environments where workloads move dynamically. Implementation uses software-defined networking (SDN), host-based firewalls, or cloud security groups. Unlike traditional VLANs that segment at network layer, microsegmentation works at application layer. If one application is compromised, attackers cannot easily pivot to other applications on the same server. Commonly used in zero trust architectures, container security (Kubernetes network policies), and cloud security (AWS Security Groups, Azure NSGs). Cisco ACI, VMware NSX provide microsegmentation capabilities.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Application control policies that allow only digitally signed executables implement what?|Blocklist|Signature-based allowlist|Heuristic analysis|Behavior monitoring|1|Signature-based allowlisting allows only executables with valid digital signatures from trusted publishers, ensuring code authenticity and preventing unsigned or self-signed malware from executing. Digital signatures use PKI to verify publisher identity and code integrity. Windows Defender Application Control (WDAC), AppLocker with publisher rules, and macOS Gatekeeper use this approach. More scalable than hash-based allowlisting since new versions from trusted publishers automatically work. Attackers must compromise legitimate publishers' signing keys (difficult) or find signed but vulnerable legitimate software for "living off the land" attacks. Organizations maintain trusted publisher list and require code signing for internal applications. Combines security with operational flexibility. Certificate revocation lists (CRLs) and OCSP handle compromised signing certificates. Supplemented with reputation services (Microsoft Intelligent Security Graph) for additional trust scoring.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Input validation that rejects all characters except explicitly allowed ones implements what principle?|Blocklist|Allowlist (positive security model)|Reactive filtering|Permissive validation|1|Allowlist input validation (positive security model) explicitly defines permitted characters, patterns, or values and rejects everything else. This is more secure than blocklisting which attempts to identify all malicious inputs (impossible). For example, if expecting phone number, allow only digits and dashes rather than trying to block SQL injection characters. Prevents zero-day injection attacks since even unknown attack patterns are rejected if not in allowed set. Used in: web application input validation (OWASP guidelines recommend allowlisting), SQL parameterized queries, XML schema validation, email address validation with regex patterns. Examples include: zip code field allowing only 5 digits, name field allowing only alphanumeric and spaces, date picker limiting to valid date ranges. More restrictive than blocklisting but provides stronger security. Requires careful design to avoid breaking legitimate use cases. Common implementation: regex patterns, type checking, range validation, length limits.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Safe configuration practices recommend changing what on all new devices?|IP addresses|Default credentials|MAC addresses|Serial numbers|1|Changing default credentials (default usernames/passwords like admin/admin, root/password) on all new devices is critical since attackers use automated scanners searching for systems with factory defaults. Manufacturer default credentials are publicly documented, posted on websites, and used in botnet attacks like Mirai. The 2016 Mirai botnet compromised 600K IoT devices using 60 default credential combinations. Attackers use tools like Shodan to find internet-exposed devices then try default credentials. Best practices: force password change on first login, prohibit common passwords, require complex passwords meeting policy, document all credential changes, use unique credentials per device (not same password everywhere), implement account lockout after failed attempts, monitor for default credential usage attempts, include credential changes in deployment checklists. Applies to: routers, switches, firewalls, IP cameras, IoT devices, databases, applications, management interfaces.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Port security that limits MAC addresses per switch port mitigates what attack?|SQL injection|MAC flooding (CAM table overflow)|DNS poisoning|XSS|1|Port security with MAC address limiting prevents MAC flooding attacks where attackers overflow the switch's CAM (Content Addressable Memory) table with fake MAC addresses, forcing the switch into hub mode (broadcasting all traffic) allowing eavesdropping. By limiting each port to specific MAC addresses (static assignment or learned maximum), switches reject frames from unauthorized MACs. Configuration examples: limit to 1-2 MACs per user port, statically assign server MAC addresses, use sticky MAC learning (remembers first MACs learned). Violation actions include: protect (silently drop unauthorized frames), restrict (drop and log), shutdown (disable port requiring admin re-enable). Also prevents unauthorized device connections and MAC spoofing. Combined with 802.1X (port-based NAC) for authentication. Cisco: "switchport port-security maximum 2", "switchport port-security violation restrict". Critical for preventing ARP spoofing, man-in-the-middle, and network reconnaissance. Modern switches support per-VLAN MAC limits for finer control.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Disabling unnecessary network protocols and services implements what hardening principle?|Increasing complexity|Reducing attack surface|Expanding functionality|Enabling all features|1|Reducing attack surface by disabling unnecessary protocols, services, and features minimizes potential vulnerabilities and attack vectors. Every running service is potential entry point - unused services provide no value but inherit their vulnerabilities. Examples: disable Telnet (use SSH instead), disable FTP (use SFTP/FTPS), disable SMBv1 (WannaCry exploited this), disable LLMNR/NetBIOS (used in responder attacks), disable IPv6 if not used, disable HTTP (use HTTPS only), remove unnecessary network stacks. Operating system hardening: disable guest accounts, remove unnecessary software, disable autorun, disable SSID broadcast. Server hardening: run only required services, disable web server directory listing, remove default websites/applications, disable unused database features. CIS Benchmarks and DISA STIGs provide detailed hardening guidance. Principle of least functionality from NIST. Regular security audits identify unnecessary services. Netstat, service management tools help inventory running services. Balance security with operational requirements.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Group Policy Objects (GPO) in Windows Active Directory enable what mitigation?|Individual manual configuration|Centralized configuration management|Decentralized settings|Random security policies|1|Group Policy Objects (GPO) enable centralized security configuration management across Windows domains, ensuring consistent security settings on thousands of systems simultaneously. GPOs enforce: password policies (complexity, length, expiration), account lockout thresholds, software restrictions (AppLocker rules), audit policies, user rights assignments, firewall rules, security options, and desktop restrictions. Benefits: consistent security posture, prevents configuration drift, reduces administrator workload, enables rapid security response (push emergency updates), enforces compliance requirements, provides inheritance and filtering. Security-relevant GPO settings: disable LM hash storage, enable SMB signing, restrict NTLM authentication, configure Windows Defender, enable BitLocker, deploy security baselines. GPO precedence: Local → Site → Domain → OU (LSDOU). Security filtering applies GPOs to specific security groups. WMI filters enable conditional application. GPO reporting (Group Policy Results) validates effective settings. Regular GPO audits identify conflicts or weak settings. Combined with Microsoft Security Compliance Toolkit (SCT) baselines.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Separation of duties requires dividing critical tasks between multiple people to prevent what?|Collaboration|Fraud or insider abuse|Efficiency|Communication|1|Separation of duties (segregation of duties, SoD) divides critical tasks among multiple people so no single person can complete a sensitive transaction alone, preventing fraud, insider abuse, and errors. One person initiates, another approves, third reviews. Examples: check writing requires both signer and approver, code deployments require developer and separate approver, database changes require DBA and security approval, financial transactions need initiator and authorizer, privileged access requires request and approval. IT examples: developers shouldn't have production access, security admins shouldn't audit themselves, backup operators shouldn't restore without approval. Implements "four eyes principle" and "maker-checker" controls. Sarbanes-Oxley (SOX) mandates SoD for financial controls. Conflicts of interest must be avoided: don't assign security AND auditing to same person. Identity governance tools detect SoD violations. Challenge: small organizations with limited staff may struggle; compensating controls (logging, management review) help. Related to least privilege (limits what each person can do).|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Mandatory vacation policies help detect what security issue?|System failures|Insider fraud requiring continuous access|Network outages|Hardware problems|1|Mandatory vacation (forced leave) policies require employees, especially those with privileged access or financial responsibilities, to take consecutive time off, during which others perform their duties. This detects insider fraud or embezzlement requiring continuous access to hide (someone else discovers irregularities). Fraudsters can't maintain their schemes from afar. Famous example: Nick Leeson's £827M fraud at Barings Bank might have been detected with mandatory vacation. IT security benefits: detects rogue administrators hiding malicious activities, identifies undocumented processes (knowledge not shared), reveals toxic key person dependencies, tests backup procedures and cross-training, ensures accounts aren't being used 365 days/year (impossible if truly on vacation). Best practices: require 5-10 consecutive business days, rotate responsibilities during vacation, monitor for remote access during leave, review accounts and transactions during absence. Combined with job rotation (periodically moving people between roles) provides similar benefits. Financial sector regulations often mandate vacation policies. Creates resilience while detecting fraud.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Change management requiring approval before system changes mitigates what risk?|Too few changes|Unauthorized or dangerous changes|Excessive communication|Reduced innovation|1|Change management processes require documentation, testing, and approval before implementing system changes, mitigating risks of unauthorized modifications, system instability, security vulnerabilities, and operational disruptions. Changes without approval can introduce vulnerabilities, break integrations, cause outages, or bypass security controls. Change Advisory Board (CAB) reviews proposals for: business justification, risk assessment, impact analysis, testing evidence, rollback plans, scheduling during maintenance windows. ITIL change management framework categorizes: standard changes (pre-approved, low risk), normal changes (require CAB review), emergency changes (expedited approval for urgent security issues). Documentation includes: what changed, why, who authorized, when implemented, how to rollback. Benefits: prevents unauthorized changes, maintains audit trails, coordinates between teams, schedules changes to minimize impact, enables rollback if problems arise, meets compliance requirements (SOX, PCI-DSS mandate change controls). Configuration management databases (CMDB) track authorized configurations. Version control systems (Git) manage infrastructure-as-code changes. Balances security and agility - DevSecOps adapts change management for rapid deployment.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Vulnerability scanning on a regular schedule (weekly/monthly) enables what mitigation activity?|Ignoring findings|Identifying and prioritizing patching|Disabling security tools|Reducing visibility|1|Regular vulnerability scanning (weekly for critical systems, monthly for others) systematically identifies security weaknesses, misconfigurations, and missing patches, enabling risk-based prioritization of remediation efforts. Scanners like Nessus, Qualys, Rapid7, and OpenVAS detect: missing OS/application patches, weak passwords, default credentials, SSL/TLS vulnerabilities, open ports, insecure configurations, compliance violations (PCI-DSS, HIPAA). Authenticated scans (with credentials) find more issues than unauthenticated external scans. Vulnerability databases like CVE and CVSS scores help prioritization - fix CVSS 9-10 critical issues immediately, CVSS 7-8.9 high severity quickly, lower severity per risk tolerance. Continuous scanning provides real-time visibility as new vulnerabilities emerge. Integration with patch management ensures findings drive remediation. Challenges include: false positives requiring validation, scan impact on production (schedule during low-usage), patch testing before deployment, tracking remediation with ticketing systems. Trend analysis shows improving or worsening security posture over time. Penetration testing validates scanner findings with actual exploitation.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Sandboxing untrusted executables before allowing them on the network mitigates what?|Known malware only|Zero-day and unknown malware|Physical attacks|Social engineering|1|Sandboxing executes suspicious files in isolated virtual environments to observe behavior before allowing them on the production network, detecting zero-day and unknown malware that signature-based antivirus misses. Sandboxes like FireEye, Palo Alto WildFire, and Cuckoo Sandbox monitor: network connections (C2 beaconing), file system modifications (creating malicious files), registry changes (persistence mechanisms), process creation (spawning cmd.exe), API calls (suspicious sequences), memory manipulation. Advanced evasion-aware sandboxes counter malware that detects VMs (checking for VMware tools, limited RAM, specific MAC addresses). Detonation time varies - quick scans analyze 30-60 seconds, deep analysis runs 5-10 minutes. Use cases: email attachments before delivery, downloaded executables, USB device files, zero-day protection for web traffic. Limitations: sophisticated malware may delay execution (time bombs), require specific triggers (open specific file), or detect sandboxes. Combined with threat intelligence - if sandbox identifies new malware, signatures distributed network-wide. Increasingly important as attackers use polymorphic and metamorphic techniques defeating static analysis.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Implementing allow lists for application execution combined with code signing creates what security model?|Open access|Application control (default-deny)|Unrestricted execution|Reactive blocking|1|Application control with allowlisting plus code signing creates a default-deny security model where only explicitly approved and cryptographically verified applications execute, blocking all others including zero-day malware. Combines allowlist approaches: digital signature verification (trusted publishers), path-based rules (only from Program Files), hash-based rules (specific file fingerprints), certificate-based rules (specific signing certs). Windows Defender Application Control (WDAC), AppLocker, and Linux AppArmor implement this. Blocks: unsigned executables, malware, unauthorized software, shadow IT applications, potentially unwanted programs (PUPs). Benefits: prevents ransomware/malware execution (even if downloaded), stops script-based attacks (PowerShell restrictions), enforces software licensing, reduces support costs (users can't install problematic software). Challenges: initial deployment effort creating rules, managing exceptions for legitimate new software, user frustration with restrictions, performance overhead. Best practices: start in audit mode, use managed installer rules (trust software deployment tools), implement gradually (critical servers first), maintain exception process. Industries with strict compliance (finance, government, critical infrastructure) increasingly mandate application control.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Security orchestration, automation, and response (SOAR) platforms automate what?|Manual processes only|Incident response and threat remediation|Physical security|Access requests|1|SOAR platforms automate incident response workflows and threat remediation, orchestrating actions across multiple security tools to respond faster than manual processes. Automated playbooks handle common scenarios: isolate infected endpoints, block malicious IPs at firewall, disable compromised accounts, quarantine malicious emails, submit suspicious files to sandboxes, enrich indicators with threat intelligence. Human analysts trigger playbooks or SOAR auto-responds to high-confidence detections. Examples: phishing playbook automatically retrieves emails, analyzes URLs, checks against threat intel, quarantines mailboxes, blocks sender domain, notifies users - all in minutes vs. hours manually. Benefits: consistent response (no human error/oversight), rapid response (seconds/minutes vs. hours), scales security team (handle more incidents), reduces analyst burnout, captures institutional knowledge in playbooks. SOAR platforms (Palo Alto Cortex XSOAR, Splunk Phantom, IBM Resilient) integrate with: SIEM, EDR, firewalls, IAM, ticketing systems, threat intelligence feeds. Low/medium severity incidents fully automated; high severity involves human approval. Requires: well-defined processes, tool API integrations, playbook maintenance, metrics to measure effectiveness. Reduces mean time to respond (MTTR) from hours to minutes.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Jump servers (bastion hosts) for privileged access provide what security benefit?|Direct access|Single point of control and monitoring|Multiple entry points|Unrestricted access|1|Jump servers (bastion hosts) act as hardened intermediaries for privileged administrative access, providing a single controlled point for accessing critical systems. Administrators connect to jump server first, then to target systems, enabling centralized: session recording (audit what admins did), access control (who can reach what), MFA enforcement, privilege elevation (just-in-time access), monitoring and alerting. Benefits: all administrative traffic flows through monitored chokepoint, compromised admin workstation doesn't directly expose production, credentials never stored on user devices (stay on jump server), implements least privilege with time-limited access. Architecture: jump server in DMZ or management VLAN, restricted network rules (only jump server can SSH/RDP to production), hardened OS (minimal software, strict configuration), session recording solutions (BeyondTrust, CyberArk). Modern alternatives: privileged access management (PAM) solutions, cloud bastion services (AWS Systems Manager Session Manager), zero-trust network access (ZTNA). Best practices: no internet access from jump server, MFA required, all sessions recorded, regular security audits, separate jump servers for different environments (prod/dev), rotate credentials frequently. Compliance requirements (PCI-DSS, HIPAA) often mandate controlled administrative access.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Implementing HTTP Strict Transport Security (HSTS) prevents what attack?|SQL injection|SSL stripping (downgrade to HTTP)|XSS|CSRF|1|HTTP Strict Transport Security (HSTS) prevents SSL stripping attacks where attackers force connections to downgrade from HTTPS to unencrypted HTTP, exposing sensitive data. HSTS header instructs browsers to always use HTTPS for specified domain, refusing HTTP connections. Header format: "Strict-Transport-Security: max-age=31536000; includeSubDomains; preload". How SSL stripping works: attacker performing MitM intercepts initial HTTP request (before HTTPS redirect), establishes HTTP with victim and HTTPS with server, sees all traffic. HSTS prevents this because browser enforces HTTPS even for first visit (if preloaded). HSTS preload list: browsers include major domains with HSTS by default, submit sites to hstspreload.org. Benefits: prevents SSL stripping, prevents certificate warnings bypass (users can't click through), improves performance (no HTTP-to-HTTPS redirect). Configuration: set long max-age (1+ year), include subdomains if all use HTTPS, submit to preload list for maximum protection. Caveats: first visit before HSTS cached is vulnerable (preload solves this), requires all content served via HTTPS (mixed content breaks pages), difficult to remove once set (long cache). Complemented by HTTPS Everywhere browser extension forcing HTTPS.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Certificate pinning in mobile apps prevents what attack?|SQL injection|Rogue certificate authorities/MitM|DDoS|Buffer overflow|1|Certificate pinning prevents man-in-the-middle attacks using rogue or compromised Certificate Authorities by hardcoding expected certificate or public key in the application code. App validates server certificate matches pinned value, rejecting all others even if properly signed by trusted CA. Protects against: compromised CAs (DigiNotar 2011), government-mandated interception certificates, corporate SSL inspection tools, self-signed certificates in MitM attacks. Pinning options: certificate pinning (exact certificate), public key pinning (certificate can rotate if same key), CA pinning (trust specific CA only). Implementation: mobile apps (iOS/Android), API clients, embedded devices. Example: banking app pins to specific certificate, attacker intercepts with different certificate (even from trusted CA) → connection fails. Challenges: certificate rotation requires app update (use backup pins), breaks legitimate SSL inspection, users can't bypass expired pins without updates. Google/Twitter/GitHub major pinning breach incidents highlighted risks and updates needed. HTTP Public Key Pinning (HPKP) header was web equivalent but deprecated due to risks. Modern approach: certificate transparency logs + pinning. Protects high-value communications but adds operational complexity.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Implementing DNS Security Extensions (DNSSEC) prevents what attack?|SQL injection|DNS cache poisoning/spoofing|XSS|Brute force|1|DNSSEC (DNS Security Extensions) uses cryptographic signatures to authenticate DNS responses, preventing cache poisoning attacks where attackers inject false DNS records redirecting users to malicious sites. DNSSEC provides origin authentication (DNS response came from authoritative server) and data integrity (response wasn't modified), but NOT confidentiality (DNS queries still visible). How it works: each DNS zone has public/private key pair, responses include RRSIG records (digital signatures), recursive resolvers validate signatures using DNSKEY and DS records in chain of trust from root servers. Benefits: prevents DNS spoofing (redirecting example.com to attacker IP), stops pharming attacks, validates domain ownership, protects against DNS hijacking. 2008 Dan Kaminsky DNS vulnerability made cache poisoning trivial without DNSSEC. Challenges: increased DNS response sizes (signatures add data), requires recursive resolver support (most major providers support), zone signing complexity, key rollover procedures. Adoption slowly growing - .gov, .com, .org support DNSSEC. Not solving: DNS privacy (use DNS-over-HTTPS/DNS-over-TLS for that), DDoS amplification (DNSSEC responses larger). Validation: dig +dnssec queries show RRSIG records, "ad" flag indicates authenticated data.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Implementing egress filtering at network perimeter blocks what?|Inbound attacks only|Outbound malware C2 and data exfiltration|Internal communications|Legitimate traffic|1|Egress filtering controls outbound traffic from internal networks to Internet, blocking malware command-and-control (C2) communications and data exfiltration that pass through permissive ingress firewalls. Traditional firewalls focus on ingress (blocking inbound attacks) but malware often calls home via outbound connections that unrestricted egress allows. Egress filtering blocks: outbound connections from servers (servers shouldn't browse web), connections to suspicious countries/IPs, connections on unusual ports (C2 often uses high ports like 4444, 8080), DNS queries to known malicious domains, outbound mail except from mail servers (prevents spam botnets). Implementation: default-deny outbound with explicit allows for business needs, application-aware filtering (identify applications beyond port numbers), geo-blocking (block connections to high-risk countries), threat intelligence integration (block known C2 IPs/domains), DNS filtering (block malicious domains). Benefits: contains compromised systems (malware can't phone home), prevents data exfiltration (large uploads blocked), detects infections (blocked C2 attempts trigger alerts). Caveats: requires understanding legitimate business needs, cloud services complicate (need many IPs allowed), encrypted tunnels (VPNs, HTTPS) can bypass. Modern firewalls with SSL inspection help.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Rate limiting authentication attempts at the application level mitigates what?|XSS|Brute force and credential stuffing|SQL injection|CSRF|1|Rate limiting restricts number of authentication attempts from single IP address or user account within time window, mitigating brute force attacks and credential stuffing. Example: allow 5 login attempts per 15 minutes per IP, then block/CAPTCHA required. Protects against: brute force (systematically trying passwords), credential stuffing (using leaked credentials from other breaches), password spraying (trying common passwords across many accounts). Implementation locations: application layer (code/framework), web application firewall (WAF), load balancer, API gateway, reverse proxy. Variations: per-IP rate limits (5 attempts/15 min), per-account rate limits (prevents distributed attacks targeting one account), progressive delays (exponential backoff after failures), CAPTCHA after threshold, temporary account lockout. Must balance security and usability - legitimate users occasionally mistype passwords. Consider: distributed attacks from botnets need different mitigation (CAPTCHA more effective than IP blocks), mobile users behind carrier NAT may share IPs (account-based limits help), VPN users appear from same IPs. Monitor for: spike in failed attempts (attack indicator), lockout patterns suggesting DoS. Complementary: strong password policies, MFA (makes brute force impractical), account monitoring (impossible travel detection), threat intelligence (block known bot IPs).|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Deploying Web Application Firewalls (WAF) with OWASP ModSecurity Core Rule Set mitigates what?|Network attacks|Web application attacks (OWASP Top 10)|Physical attacks|Insider threats|1|Web Application Firewalls (WAF) protect web applications by filtering HTTP/HTTPS traffic, blocking common attacks like SQL injection, XSS, CSRF, and other OWASP Top 10 vulnerabilities. WAFs inspect: request URLs, POST data, cookies, headers for malicious patterns. ModSecurity Core Rule Set (CRS) provides 200+ rules detecting: SQL injection (UNION SELECT, OR 1=1), XSS (<script> tags, event handlers), path traversal (../../../), remote file inclusion, command injection, protocol violations, malicious bots. Deployment modes: reverse proxy (inline traffic), bridge mode (layer 2 transparent), monitoring only (detect but don't block). Cloud WAFs (Cloudflare, AWS WAF, Azure Application Gateway) protect without on-premises hardware. Benefits: virtual patching (protect vulnerable apps until code fixed), compliance (PCI-DSS requires WAF), bot mitigation, DDoS protection, API security. Configuration: blocking mode vs. detection mode initially (tune rules before enforcing), custom rules for application-specific logic, IP reputation integration, geo-blocking, rate limiting per URL. Challenges: false positives requiring tuning, encrypted traffic requires SSL termination, sophisticated attacks may evade signatures. Complements secure coding practices (WAF is defense-in-depth, not replacement for secure development).|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

Implementing Content Security Policy (CSP) headers mitigates what web attack?|SQL injection|Cross-site scripting (XSS)|Brute force|DNS poisoning|1|Content Security Policy (CSP) is an HTTP response header that restricts sources from which browsers load content, significantly mitigating cross-site scripting (XSS) attacks by preventing inline scripts and unauthorized external resources. CSP directives specify: script-src (JavaScript sources), style-src (CSS sources), img-src (image sources), connect-src (AJAX/WebSocket endpoints), frame-ancestors (embedding in iframes). Example policy: "Content-Security-Policy: default-src 'self'; script-src 'self' https://apis.example.com; style-src 'self' 'unsafe-inline'; img-src 'self' data:". How it mitigates XSS: even if attacker injects <script>malicious_code</script>, browser refuses to execute inline scripts unless 'unsafe-inline' allowed (which defeats purpose). Attackers can't load external scripts from their domains unless explicitly allowed. Benefits: blocks reflected/stored/DOM XSS, prevents clickjacking (frame-ancestors), limits data exfiltration, reduces attack surface. Implementation: start with report-only mode (CSP-Report-Only header) collecting violations without blocking, analyze reports, refine policy, switch to enforcement mode. Challenges: requires cataloging all legitimate content sources, breaks inline event handlers (onclick), legacy code may need refactoring, third-party widgets complicated. Report-URI directive sends violation reports to endpoint for monitoring. Browser support excellent (95%+). Level 2 CSP adds nonces/hashes for specific inline scripts, Level 3 adds strict-dynamic for modern apps.|2.0 Threats, Vulnerabilities, and Mitigations|2.5 Mitigation Techniques

