# Domain 5.0 - Security Program Management and Oversight
# Subdomain 5.1 - Governance and Compliance Elements
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

A company implements mandatory annual security awareness training. What governance principle does this support?|Technical controls only|Security culture and human risk management|Eliminating all policies|Physical security only|1|Mandatory security awareness training builds security culture and manages human risk by educating users about threats and best practices. It complements technical controls, enforces policies, and addresses human factors beyond physical security.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of a data classification policy?|Delete all data|Categorize data by sensitivity to apply appropriate protections|Encrypt everything equally|Ignore data protection|1|Data classification categorizes data by sensitivity (public, internal, confidential, restricted) to apply appropriate protections (encryption, access controls, handling procedures). Deleting all data stops business, equal encryption wastes resources, and ignoring protection creates risk.|5.0 Security Program Management|5.1 Governance Elements

Which role typically reports security status to executive leadership and the board?|Help desk technician|Chief Information Security Officer (CISO)|End user|External auditor|1|The CISO typically reports security program status, risks, and incidents to executive leadership and the board, translating technical issues into business risk. Help desk handles support, end users receive training, and external auditors provide independent assessments.|5.0 Security Program Management|5.1 Governance Elements

What is the primary benefit of implementing security governance frameworks like NIST or ISO 27001?|No benefit|Structured approach to security management with best practices|Guarantee zero breaches|Eliminate all security work|1|Security governance frameworks provide structured, proven approaches to security management based on industry best practices. They don't guarantee zero breaches, require ongoing work, but improve security posture through comprehensive guidance.|5.0 Security Program Management|5.1 Governance Elements

A company must demonstrate compliance with multiple regulations. What is the most efficient approach?|Separate programs for each regulation|Integrated compliance program with common controls|Ignore all regulations|Outsource all compliance|1|Integrated compliance programs map common controls across multiple regulations, reducing redundancy and resource requirements. Separate programs duplicate effort, ignoring risks penalties, and outsourcing doesn't eliminate organizational responsibility.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of conducting regular security audits?|Punish employees|Verify compliance with policies and identify gaps|Eliminate all security controls|Slow down business|1|Security audits verify compliance with policies, regulations, and standards, identifying gaps and areas for improvement. They're not punitive, maintain controls, and properly scoped don't unnecessarily hinder business.|5.0 Security Program Management|5.1 Governance Elements

Which governance principle requires individuals to be held accountable for their actions?|Anonymity|Accountability and non-repudiation|Shared accounts|No logging|1|Accountability requires individuals to be held responsible for their actions, often supported by non-repudiation (audit logs, digital signatures). Anonymity prevents accountability, shared accounts obscure responsibility, and no logging eliminates evidence.|5.0 Security Program Management|5.1 Governance Elements

A company develops a password policy requiring 12-character minimum length and 90-day maximum age. What should accompany this policy?|Nothing|Password procedure explaining how to change passwords|Elimination of all passwords|Ignoring the policy|1|Policies should be accompanied by procedures providing step-by-step instructions for compliance (how to change passwords). Nothing leaves users confused, eliminating passwords requires alternative authentication, and ignoring defeats the purpose.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of security baseline standards?|Random configurations|Define minimum security requirements for systems|No standardization|Maximum insecurity|1|Security baselines define minimum required security configurations for systems (hardening, patching, logging), ensuring consistent protection across the organization. Random configurations create gaps, no standardization increases risk, and baselines aim for security not insecurity.|5.0 Security Program Management|5.1 Governance Elements

Which compliance requirement mandates reporting security breaches to affected individuals?|No requirement|Data breach notification laws (varies by jurisdiction)|Hiding all breaches|Only internal reporting|1|Data breach notification laws (GDPR, various US state laws) require organizations to report qualifying breaches to affected individuals and regulators within specified timeframes. Hiding breaches violates laws, and regulations often require external notification.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of implementing a security awareness program?|Replace all technical controls|Continuously educate users about evolving threats and best practices|Eliminate user access|Slow down productivity|1|Security awareness programs continuously educate users about evolving threats, best practices, and policies to reduce human risk. They complement not replace technical controls, maintain appropriate access, and properly designed improve not hinder productivity.|5.0 Security Program Management|5.1 Governance Elements

A company's security policy conflicts with operational needs. What is the appropriate governance response?|Ignore the policy|Review and potentially revise policy through change management process|Eliminate all policies|Fire security team|1|Policy conflicts should trigger change management review, potentially revising the policy to balance security and business needs. Ignoring policies undermines governance, eliminating all policies creates risk, and personnel changes don't address the conflict.|5.0 Security Program Management|5.1 Governance Elements

What is the primary purpose of risk acceptance documentation?|Eliminate all risks|Formally acknowledge and approve residual risks after controls|Ignore all risks|Transfer all risks|1|Risk acceptance documents formally acknowledge and approve accepting residual risks after implementing controls, showing executive awareness and business decision. Eliminating all risks is impossible, ignoring is irresponsible, and not all risks can/should be transferred.|5.0 Security Program Management|5.1 Governance Elements

Which governance activity ensures security controls remain effective over time?|One-time implementation only|Continuous monitoring and periodic reviews|Eliminating all controls|No follow-up|1|Continuous monitoring and periodic reviews ensure controls remain effective as threats, technology, and business change. One-time implementation becomes outdated, eliminating controls creates risk, and no follow-up allows control failures.|5.0 Security Program Management|5.1 Governance Elements

A company implements security policies but doesn't enforce them. What is the likely result?|Improved security|Policy violations and increased risk|Complete compliance|No impact|1|Unenforced policies lead to violations and increased risk as users ignore requirements knowing there are no consequences. Security doesn't improve, compliance fails, and impact is negative.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of security exception processes?|Allow any violation|Formally approve deviations from policy with risk assessment and compensating controls|Eliminate all policies|Prevent all exceptions|1|Security exception processes formally approve necessary policy deviations after risk assessment and implementing compensating controls, documenting business justification. Allowing any violation undermines security, eliminating policies or preventing all exceptions are impractical.|5.0 Security Program Management|5.1 Governance Elements

Which governance principle states that users should have only the access needed to perform their jobs?|Maximum privilege|Least privilege|No access control|Unlimited access|1|Least privilege grants users only the minimum access necessary to perform job functions, reducing risk from compromised accounts or insider threats. Maximum or unlimited access creates unnecessary risk, and no access control fails to protect resources.|5.0 Security Program Management|5.1 Governance Elements

A company must comply with PCI DSS. What type of data are they protecting?|Health records|Payment card information|Email|Operating systems|1|PCI DSS (Payment Card Industry Data Security Standard) protects payment card information (cardholder data, payment card numbers). HIPAA protects health records, and operating systems and email require protection but aren't PCI DSS's focus.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of implementing job rotation in security governance?|Confuse employees|Detect fraud and provide cross-training|Eliminate all positions|Slow down work|1|Job rotation helps detect fraud (irregularities discovered by new person), provides cross-training for continuity, and prevents excessive knowledge concentration. It's not for confusion, elimination, or slowing work.|5.0 Security Program Management|5.1 Governance Elements

Which document hierarchy exists in most security governance programs?|No hierarchy|Policies → Standards → Procedures → Guidelines|Guidelines → Policies → Procedures → Standards|Random order|1|Security governance typically follows hierarchy: Policies (high-level mandatory rules) → Standards (technical requirements) → Procedures (step-by-step instructions) → Guidelines (recommendations). This provides structure from strategic to tactical.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of security training for developers?|Eliminate development|Teach secure coding practices to prevent vulnerabilities|Slow down releases|Replace security teams|1|Security training for developers teaches secure coding practices (input validation, authentication, encryption) to prevent vulnerabilities at the source. It doesn't eliminate development, properly done improves quality without major delays, and complements not replaces security teams.|5.0 Security Program Management|5.1 Governance Elements

A security policy requires annual review and approval. What governance principle does this support?|Policy stagnation|Policies remain current and relevant|Eliminating policies|Ignoring changes|1|Regular policy review ensures policies remain current with changing threats, technology, regulations, and business. Stagnation creates gaps, elimination removes governance, and ignoring changes increases risk.|5.0 Security Program Management|5.1 Governance Elements

What is the role of legal counsel in security governance?|Write firewall rules|Advise on regulatory compliance and liability|Install security tools|Conduct penetration tests|1|Legal counsel advises on regulatory compliance, contractual obligations, liability, data protection laws, and incident response legal aspects. They don't perform technical activities like firewall rules, tool installation, or pen testing.|5.0 Security Program Management|5.1 Governance Elements

Which governance practice requires employees to take mandatory time off to detect fraud?|Overtime requirements|Mandatory vacation policy|No vacation allowed|Unlimited work hours|1|Mandatory vacation policies require employees to take time off, allowing others to review their work and potentially detect fraud or irregularities. Overtime and unlimited hours increase fraud opportunity, and no vacation prevents detection.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of documenting security architecture decisions?|No purpose|Provide rationale, support compliance, and enable future reviews|Hide decisions|Slow down implementation|1|Documenting security architecture decisions provides rationale, supports compliance audits, enables future reviews and improvements, and captures institutional knowledge. Documentation doesn't hide, and proper documentation improves not slows implementation.|5.0 Security Program Management|5.1 Governance Elements

A company implements a zero-trust security model. What governance principle does this reflect?|Trust all internal users|Never trust, always verify - continuous authentication and authorization|Trust everyone|Eliminate all access|1|Zero trust implements "never trust, always verify," requiring continuous authentication and authorization for all access regardless of location. It doesn't trust internal users by default, doesn't trust everyone, and maintains controlled access.|5.0 Security Program Management|5.1 Governance Elements

What is the primary purpose of security policy acknowledgment?|No purpose|Document user awareness and acceptance of policies|Hide policies|Eliminate training|1|Policy acknowledgment documents that users have read, understood, and agreed to follow policies, creating accountability. It doesn't hide policies, complements training, and serves governance purposes.|5.0 Security Program Management|5.1 Governance Elements

Which metric would best measure security awareness program effectiveness?|Number of policies written|Reduction in user-related security incidents and phishing click rates|Lines of code written|Number of firewalls|1|Awareness program effectiveness is measured by reduced user-related incidents (phishing clicks, policy violations, social engineering success). Policies written, code, and firewalls don't measure user behavior change.|5.0 Security Program Management|5.1 Governance Elements

A company's security governance program includes executive leadership, security team, legal, HR, and IT. What does this represent?|Unnecessary complexity|Comprehensive cross-functional security governance|Too many people involved|Wrong approach|1|Effective security governance requires cross-functional participation (executive leadership, security, legal, HR, IT) as security impacts all business areas. It's not unnecessarily complex, ensures comprehensive coverage, and represents best practice.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of security incident response policies?|Prevent all incidents|Define roles, responsibilities, and processes for handling security incidents|Hide incidents|Slow down response|1|Incident response policies define roles, responsibilities, notification procedures, and response processes for security incidents, enabling coordinated effective response. They don't prevent all incidents, hide incidents, or slow properly designed response.|5.0 Security Program Management|5.1 Governance Elements

Which governance practice ensures that similar decisions are made consistently?|Random decisions|Documented decision frameworks and precedents|Unique approach each time|No documentation|1|Documented decision frameworks and precedents ensure consistent decision-making across similar situations, supporting fairness and predictability. Random decisions create inconsistency, unique approaches waste time, and no documentation prevents consistency.|5.0 Security Program Management|5.1 Governance Elements
