# Domain 5.0 - Security Program Management and Oversight
# Subdomain 5.3 - Third-Party Risk and Compliance
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What should organizations verify about hardware vendors to prevent supply chain attacks?|Nothing|Authorized distributors, chain of custody, and tamper-evident packaging|Only price|Vendor popularity|1|Organizations should verify authorized distributors, maintain chain of custody, check tamper-evident packaging, and potentially test hardware to prevent counterfeit or compromised components. Price and popularity don't ensure security.|5.0 Security Program Management|5.3 Third-Party Risk

Which contract term specifies vendor responsibilities during a security incident?|Marketing clause|Incident response and notification requirements|Payment terms|Termination clause|1|Contracts should specify vendor incident response obligations, notification timelines, forensic cooperation, and communication procedures. This ensures coordinated response and timely notification.|5.0 Security Program Management|5.3 Third-Party Risk

A company uses multiple vendors for the same service to avoid dependency. Which risk management strategy is this?|Risk concentration|Risk diversification|Risk acceptance|Risk ignorance|1|Using multiple vendors for critical services is risk diversification, reducing dependency on single vendors and providing alternatives if one fails or is compromised. Risk concentration is the opposite.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of escrow agreements for software vendors?|No purpose|Ensure access to source code if vendor fails or discontinues product|Hide source code|Prevent all access|1|Escrow agreements place source code with neutral third parties, ensuring customers can access and maintain software if the vendor goes out of business or discontinues support. This mitigates vendor dependency risk.|5.0 Security Program Management|5.3 Third-Party Risk

Which security certification demonstrates a service provider's security controls?|Business license only|SOC 2 Type II, ISO 27001, or FedRAMP|Marketing award|Chamber of Commerce membership|1|SOC 2 Type II, ISO 27001, FedRAMP, and similar certifications demonstrate independently verified security controls and practices. Business licenses, marketing awards, and memberships don't verify security.|5.0 Security Program Management|5.3 Third-Party Risk

A vendor contract includes a data breach notification requirement within 72 hours. What does this support?|Hiding breaches|Timely incident response and regulatory compliance (e.g., GDPR)|Slow response|No notification|1|72-hour breach notification supports timely incident response and regulatory compliance (GDPR requires notification within 72 hours). Hiding breaches violates regulations, slow response increases damage, and notification is legally required.|5.0 Security Program Management|5.3 Third-Party Risk

What is fourth-party risk (also called nth-party risk)?|No such risk|Risk from vendor's vendors and subcontractors|Risk from customers|Internal employee risk|1|Fourth-party (nth-party) risk involves risks from vendor's vendors, subcontractors, and their supply chains. Organizations may have limited visibility and control over these relationships but still face exposure.|5.0 Security Program Management|5.3 Third-Party Risk

Which practice helps verify vendor security claims?|Trust all claims|Independent security assessments, audits, and certifications|No verification|Vendor self-reporting only|1|Independent security assessments, audits, penetration tests, and certifications verify vendor security claims. Trusting all claims is naive, some verification is essential, and self-reporting alone isn't sufficient.|5.0 Security Program Management|5.3 Third-Party Risk

A company requires vendors to maintain specific cyber insurance coverage. What risk strategy does this support?|Risk avoidance|Risk transfer—shifting some financial risk to insurance|Risk acceptance|Risk increase|1|Requiring vendor cyber insurance supports risk transfer by ensuring financial resources are available for breach costs, reducing the organization's potential financial exposure.|5.0 Security Program Management|5.3 Third-Party Risk

What should be included in vendor offboarding procedures?|Nothing|Access revocation, data return/destruction, and security review|Maintaining all access|Ignoring transitions|1|Vendor offboarding should include revoking all access, ensuring data return or certified destruction, reviewing security during transition, and documenting completion. Maintaining access creates security risks.|5.0 Security Program Management|5.3 Third-Party Risk

Which contract clause allows terminating vendor relationships for security violations?|No termination allowed|Termination for cause with security breach provisions|Payment clause only|Marketing terms|1|Termination for cause clauses with specific security breach provisions enable ending vendor relationships for security violations or non-compliance, protecting organizational interests.|5.0 Security Program Management|5.3 Third-Party Risk

A cloud provider stores data in multiple countries. What compliance concern does this raise?|No concerns|Data sovereignty and varying regulatory requirements by jurisdiction|Only cost concerns|Performance only|1|Multi-country data storage raises data sovereignty concerns as different jurisdictions have varying regulatory requirements (GDPR, data residency laws). Organizations must ensure compliance across all storage locations.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of continuous vendor monitoring?|One-time check only|Ongoing assessment of vendor security posture and compliance|Ignore vendor changes|Trust vendors permanently|1|Continuous vendor monitoring involves ongoing assessment of vendor security posture, compliance, financial health, and incident history. One-time checks become outdated as vendor security changes over time.|5.0 Security Program Management|5.3 Third-Party Risk

Which principle should guide vendor access to organizational systems?|Maximum access|Least privilege—minimum necessary access|Full administrative access|No access control|1|Vendors should receive least privilege access—only the minimum necessary to perform contracted services. Maximum or full access violates security principles and increases risk.|5.0 Security Program Management|5.3 Third-Party Risk

A company requires vendors to undergo annual penetration testing. What does this verify?|Marketing effectiveness|Security control effectiveness against real-world attacks|Financial stability|Product features|1|Penetration testing verifies security control effectiveness by simulating real-world attacks, identifying vulnerabilities before attackers exploit them. Marketing, financials, and features are separate concerns.|5.0 Security Program Management|5.3 Third-Party Risk

What is the risk of using open-source software components in applications?|No risk exists|Vulnerabilities in dependencies and supply chain attacks|Guaranteed security|Only cost concerns|1|Open-source components can contain vulnerabilities, be abandoned without updates, or be compromised (supply chain attacks). Organizations must track dependencies, monitor for vulnerabilities, and have update processes.|5.0 Security Program Management|5.3 Third-Party Risk

Which agreement establishes mutual understanding but isn't legally binding?|Legally binding contract|Memorandum of Understanding (MOU)|NDA|SLA|1|MOUs establish mutual understanding and intent but typically aren't legally binding contracts. They outline cooperation expectations. NDAs, SLAs, and contracts have legal enforceability.|5.0 Security Program Management|5.3 Third-Party Risk

A vendor experiences a ransomware attack affecting their services. What should be in the contract to address this?|Nothing|Business continuity, disaster recovery, and RTO/RPO requirements|Only payment terms|Marketing promises|1|Contracts should specify business continuity/disaster recovery requirements, recovery time objectives (RTO), recovery point objectives (RPO), and testing to ensure service resilience during vendor incidents.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of vendor security rating services (e.g., SecurityScorecard, BitSight)?|No purpose|Continuous automated assessment of vendor external security posture|Replace all assessments|Marketing only|1|Vendor security rating services continuously assess external security posture (patching, open ports, certificates, leaked credentials) using automated scanning, complementing questionnaires and audits. They don't replace all assessments but provide ongoing visibility.|5.0 Security Program Management|5.3 Third-Party Risk

Which supply chain security practice verifies software hasn't been tampered with?|No verification|Code signing and hash verification|Trusting all software|Random installation|1|Code signing with digital signatures and hash verification ensures software authenticity and integrity, detecting tampering. Trusting all software is naive, and random installation increases risk.|5.0 Security Program Management|5.3 Third-Party Risk

A company uses a managed security service provider (MSSP) for SOC operations. What must remain the company's responsibility?|Nothing—full outsourcing|Overall security strategy, risk decisions, and accountability|All technical operations|Physical security only|1|Even with MSSPs, companies retain responsibility for overall security strategy, risk decisions, policy, and ultimate accountability. Operational activities can be outsourced, but strategic responsibility remains.|5.0 Security Program Management|5.3 Third-Party Risk

What should organizations require before allowing vendor software in production?|Immediate installation|Security testing, vulnerability assessment, and approval process|No testing|Random deployment|1|Organizations should require security testing, vulnerability assessment, malware scanning, and formal approval before deploying vendor software in production. Immediate or random deployment without testing creates risk.|5.0 Security Program Management|5.3 Third-Party Risk

Which contract term specifies how long vendor must retain data?|Infinite retention|Data retention and disposal requirements|No specification|Random duration|1|Contracts should specify data retention periods and secure disposal methods, ensuring vendors don't retain data longer than necessary and dispose properly. Infinite retention violates data minimization, and no specification creates ambiguity.|5.0 Security Program Management|5.3 Third-Party Risk

A vendor uses subcontractors without notification. What contract provision addresses this?|No provision needed|Subcontractor notification and approval requirements|Unlimited subcontracting|Secret arrangements|1|Contracts should require vendors to notify and obtain approval before using subcontractors, ensuring the organization can assess fourth-party risks. Unlimited or secret subcontracting eliminates visibility and control.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of vendor risk tiering (critical, high, medium, low)?|Treat all vendors identically|Prioritize oversight and controls based on vendor risk level|Ignore risk differences|Random assignment|1|Vendor risk tiering categorizes vendors by risk level (data access, criticality, volume) to prioritize oversight, controls, and assessment frequency. Critical vendors require more rigorous oversight than low-risk vendors.|5.0 Security Program Management|5.3 Third-Party Risk

Which security control detects unauthorized vendor access?|No detection|Access logging, monitoring, and user behavior analytics|Trust all access|No monitoring|1|Access logging, monitoring, and user behavior analytics detect unauthorized or anomalous vendor access. Trust without verification and no monitoring eliminate detection capability.|5.0 Security Program Management|5.3 Third-Party Risk

A cloud provider offers encryption but holds all keys. What security concern does this create?|No concern|Provider can access data—lack of customer control over encryption keys|Perfect security|Cost savings|1|When providers hold all encryption keys, they can access customer data, and government may compel disclosure. Customer-controlled keys (bring your own key, BYOK) provide better data protection and control.|5.0 Security Program Management|5.3 Third-Party Risk

What should organizations verify about software development vendors?|Nothing|Secure development practices (SDLC security, code review, testing)|Only cost|Marketing materials|1|Organizations should verify vendor secure development practices including secure SDLC, code reviews, security testing, dependency management, and vulnerability response. Cost and marketing don't ensure secure development.|5.0 Security Program Management|5.3 Third-Party Risk

Which practice reduces supply chain risk in software procurement?|Using single source|Diverse sources, verifying signatures, and using trusted repositories|Random sources|No verification|1|Supply chain risk reduction involves using diverse trusted sources, verifying digital signatures, using official repositories, and implementing software composition analysis. Single sources create dependency, random sources increase risk.|5.0 Security Program Management|5.3 Third-Party Risk

A vendor contract includes indemnification clauses. What do these provide?|Nothing|Financial protection if vendor actions cause loss or liability|Marketing benefit|Decoration|1|Indemnification clauses provide financial protection by requiring the vendor to cover losses or liability resulting from their actions, failures, or breaches. This allocates financial risk and provides recourse.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of requiring vendors to have incident response plans?|No purpose|Ensure coordinated response and minimize impact of vendor security incidents|Slow down business|Paperwork requirement only|1|Vendor incident response plans ensure preparedness for security incidents, coordinated response with customers, and minimize impact. Plans shouldn't slow business when properly designed, and they serve security not paperwork purposes.|5.0 Security Program Management|5.3 Third-Party Risk

Which vendor assessment should be performed before contract signing?|No assessment|Due diligence including security assessment and financial review|After contract only|Random timing|1|Due diligence before contracting includes security assessment, financial stability review, reference checks, and compliance verification. Assessment after signing loses negotiating leverage, and random timing is ineffective.|5.0 Security Program Management|5.3 Third-Party Risk

A company requires vendors to comply with its security policies. What should be included in contracts?|Nothing|Specific security requirements, controls, and compliance obligations|Generic terms only|Marketing language|1|Contracts should include specific security requirements, required controls, compliance obligations, and acceptance of organizational security policies. Generic terms lack enforceability, and marketing language doesn't create obligations.|5.0 Security Program Management|5.3 Third-Party Risk

What is the risk of shadow IT in third-party management?|No risk|Unauthorized vendor relationships bypass security review and controls|Perfect security|Cost savings|1|Shadow IT involves business units procuring services without IT/security approval, bypassing security review, contractual protections, and controls. This creates unmanaged risks and compliance issues.|5.0 Security Program Management|5.3 Third-Party Risk
